aafb 工地
aahb 䓉
aawb 花花公子
aabn 工薪阶层
aabu 工联
acbd 节能降耗
addb 基础
adfb 基地
adhb 荐
adhb 英雄辈出
adkb 鄀
adwb 其他
adbv 期限
adbv 苊
aefb 菜地
aebc 菔
aebf 莩
aebx 工人阶级
affb 某地
afpb 荸
aftb 䓔
afb 邯
afbh 邯
afbp 敬老院
agdb 欧亚大陆
agub 药到病除
agbh 邼
agbj 莱阳
agbj 萅
agbn 芚
ahnb 孯
ahnb 䢻
ahtb 邪
aifb 落地
aifb 薄地
aiib 蓄水池
aib 范
aibf 东陵
aibj 东阳
aibp 工学院
aibv 范
ajdb 鄚
ajfb 草地
ajfb 墓地
ajvb 郾
ajbc 蕞
ajbm 划出
akfb 鞯
akfb 鞟
akfb 鞹
akfb 䩕
akfb 䩩
akfb 䩰
akfb 䩸
akgb 鄞
akkb 鄿
akkb 酄
akkb 䕤
akub 酀
akbf 葺
akbw 革除
akby 蕺
alpb 鄸
alub 蔨
albi 蘻
albu 苏联
albb 匣子
albb 苗子
albb 茄子
amdb 䣐
amwb 䵍
ambh 黄陂
anwb 恐怖分子
anbh 䢹
anbm 䓛
anby 苦心孤诣
apfb 营地
apgb 劳顿
apqb 菀
apbe 蒙阴
apbf 茡
apbj 荥阳
apbj 工农联盟
aqab 䣟
aqgb 茚
aqrb 警报
aqtb 茆
aqb 苑
aqbc 获取
aqbg 警卫
aqbj 茒
aqbj 䒢
aqbn 葾
aqbt 蒭
aqbv 苑
arkb 䔱
arbt 葼
atgb 攻击
atrb 蓹
atub 医疗
atb 莠
atbp 医院
atbr 莠
atbw 工程队
atbb 菜篮子
auab 菩萨
audb 菤
aukb 蔀
aube 蒴
avcb 莭
avbf 䒵
avbw 切除
awnb 孽
awwb 共创
awyb 聓
awb 苍
awbc 共聚
awbh 䢼
awbr 芿
awbv 苍
awbx 㗡
axib 蕴涵
axtb 薌
axbf 葞
ayfb 荒地
aytb 葹
ayvb 蓈
aybu 工商联
ab 节
ab 萨
abag 若隐若现
abc 匜
abce 节能
abci 藂
abcl 萾
abcu 菆
abde 䔺
abdw 节奏
abe 荫
abef 荫
aben 蘟
abf 茸
abf 芓
abfc 节支
abft 䔖
abgi 蔯
abh 邛
abh 卭
abhg 匩
abhh 节目
abhk 节点
abi 蒸
abig 䒱
abii 节水
abil 䕄
abim 节油
abio 蒸
abir 蒸汽
abit 节省
abiu 荪
abiy 节流
abib 菡
abj 节
abjj 节日
abjn 节电
abkg 䓧
abkm 警卫员
abkm 藬
abkx 莻
ablf 䓝
abm 茁
abmc 䔴
abmf 䔜
abmj 茁
abnt 蒸发
abnv 芤
aboa 节煤
abqn 蒸馏
abr 艿
abrg 节后
abrj 㧭
abrm 节制
abrn 蒸气
abrn 节气
abrr 节拍
abry 菰
abtg 蕯
abti 蓀
abtn 㲨
abtp 䕖
abu 萨
abue 节前
abue 䔹
abuf 茁壮
abug 薩
abuk 䔒
abut 萨
abuy 蘵
abwc 蔭
abwc 䕃
abwg 节余
abws 蒢
abww 节俭
abxq 节约
abyc 节育
abyd 巧取豪夺
ccbb 艰难险阻
cdbp 参院
cemb 通邮
cenb 勇敢
cerb 通报
cebp 通辽
cffb 圣地
cfbl 对阵
cfbu 对联
cfbb 对子
cgeb 驯服
cgfb 驻地
cgnb 骣
cgb 骤
cgbc 骗取
cgbc 䯅
cgbi 骤
cgbj 骄阳
cgbn 驰
cgbw 驱除
cgbb 骗子
ckb 邰
ckbh 邰
ckbu 台联
ckbw 台阶
ckbb 台子
clbe 劝阻
cnrb 预报
cnby 预防
coib 观摩演出
conb 驏
coqb 駠
coqb 䭹
cotb 駞
cobf 䮛
cobg 駬
cobh 䣕
cobi 驟
cobn 馳
cobb 䯀
cqqb 欢迎
cqbc 欢聚
ctfb 通行无阻
ctbc 牟取
ctbw 预备队
cvbw 艰险
cwub 难闻
cyab 圣诞节
cypb 难言之隐
cybp 参议院
cb 邓
cbaa 双职工
cbgi 欢聚一堂
cbh 邓
dapb 不切实际
dceb 鬈
dceb 髢
dceb 髶
dceb 䯮
dcrb 不难看出
dcvb 友好
ddfb 大地
ddpb 大字
ddqb 不顾危险
ddvb 大好
ddbc 套取
ddbg 大陆
ddbn 大不了
ddbn 砈
ddbp 大院
ddbw 大队
deab 有节
depb 鄾
deb 郁
debh 郁
debv 有限
debb 胡子
dfeb 鄏
dfeb 䣅
dfgb 奎屯
dfnb 郀
dftb 不堪入耳
dftb 奋起自卫
dftb 硣
dfwb 破坏分子
dfbc 夺取
dfbg 百无聊赖
dfbs 大专院校
dggb 有两下子
dgkb 䶠
dgnb 威慑
dgvb 三好
dgbg 厨卫
dgbj 咸阳
dgbn 砘
dgbw 在现阶段
dgbb 石子
dhdb 不顾
dheb 不服
dhgb 邳
dhgb 还击
dhnb 不敢
dhnb 不屈
dhtb 夏季
dhvb 还好
dhvb 不好
dhvb 孬
dhvb 齧
dhb 存
dhbc 存取
dhbd 存
dhbi 不逊
dhbk 在职
dhbw 破除
diab 䣢
difb 耕地
diwb 不法分子
dibg 耔
dibh 䣂
dibb 石河子
dibb 硬汉子
dibb 不肖子孙
djfb 䣑
djjb 在时最
djnb 䣍
djb 厚
djbd 厚
djbm 百出
dkbc 不足取
dlcb 不畏艰险
dlfb 不思进取
dlbh 在国际上
dlbw 历险
dmjb 䩊
dmbl 布阵
dmbn 面孔
dmbb 面子
dnab 成荫
dncb 不避艰险
dnfb 奋发进取
dnfb 有惊无险
dnqb 尯
dnxb 郕
dnbn 成了
dnbs 尮
dpqb 碗
dqdb 硊
dqeb 克服
dqtb 奅
dqbt 克隆
drfb 原地
drwb 原创
drbj 原阳
drbm 研制出
drbr 大打出手
drbb 原子
drbb 左撇子
dsgb 克林顿
dsub 奇闻
dsbj 不可限量
dsbr 不可阻挡
dtsb 耍笔杆子
dtb 邦
dtbh 帮
dtbh 邦
dtbh 幚
dtbn 砤
dtbu 故障
dufb 厚颜无耻
duhb 大半辈子
dulb 不着边际
duub 磁疗
dub 厥
dubh 蹷
dubj 劂
dubj 蟨
dubn 憠
dubo 鷢
dubp 磀
dubs 橜
dubw 厥
dvxb 成群结队
dwab 春节
dwab 奉节
dweb 不舒服
dwtb 春季
dwwb 郟
dwbg 不仅限于
dwbu 春联
dwbb 大个子
dxdb 破绽百出
dxgb 袭击
dxgb 不绝于耳
dxpb 成绩突出
dxyb 聋
dxbf 面红耳赤
dxbw 牵强附会
dypb 古文字
dywb 太仓
dybj 太阳
dybb 太子
db 顾
dbc 厄
dbce 太阳能
dbce 原子能
dbd 顾
dbdd 奇耻大辱
dbdm 顾
dbdm 頋
dbet 顾及
dbf 耷
dbfc 厄运
dbfs 有职无权
dbfu 在职干部
dbg 矷
dbgn 㕔
dbgo 奉陪到底
dbgu 不耻下问
dbh 䂙
dbha 顾虑
dbhc 㿴
dbig 太阳光
dbj 㚎
dblk 大陆架
dbm 础
dbme 大陆同胞
dbmh 础
dbmp 布隆迪
dbow 破除迷信
dboy 厄米
dbpt 顾客
dbqe 不了解
dbro 不出所料
dbst 有隙可乘
dbsy 原子核
dbtx 太阳系
dbuk 顾问
dbwk 在职人员
dbwu 大出风头
dbxu 原子弹
dbyw 不承认
dbbp 不了了之
edbg 䐛
edbn 受不了
eerb 月报
eebg 脬
eebm 月出
efcb 脚
efpb 脖
efbb 肚子
efbb 脖子
egbh 䢸
egbn 肫
ehcb 鄋
ehfb 用地
eirb 脳
ejbb 胆子
ekdb 脱口而出
ekbg 䐕
epqb 腕
epvb 爱好
epbe 受阻
epbm 受聘
eqdb 脆
eqrb 胸
eqbh 郳
eqbt 䐢
errb 學
erbt 朡
esbc 采取
esbe 肠梗阻
etfb 腹地
etfb 胜地
etnb 爳
etnb 鄬
etbm 胜出
etbn 胣
euab 脱节
eudb 腃
eubw 脱险
eubb 胖子
evcb 䐚
ewwb 腳
ewyb 䐪
exdb 脱颖而出
extb 膷
eykb 朜
eykb 脝
eyrb 脑
eybf 脑际
eybb 胶子
eybb 脑子
eybb 膀子
eb 服
ebax 服药
ebc 服
ebco 鵩
ebcy 服
ebeh 服用
ebf 孚
ebg 䏪
ebga 服刑
ebgf 受聘于
ebif 乳汁
ebkk 乳品
ebmh 朏
ebmh 貀
ebmm 乳山
ebn 乳
ebn 肔
ebnn 乳
ebnn 㐠
ebqn 服饰
ebrn 服气
ebta 服务区
ebtk 嗠
ebtk 服务器
ebtk 服务员
ebtl 服务
ebtn 㲗
ebtw 服役
ebuf 服装
ebwo 䳕
ebww 服从
ebyn 乳房
ebbh 郛
fclb 动辄
fcb 却
fcbc 支取
fcbc 叝
fcbh 却
fcbh 䢵
fcbj 云阳
fcbm 支出
fcbw 支队
fcbw 去除
fdfb 盐碱地
fdgb 零存整取
fdnb 震慑
fdtb 垹
fdbf 十三陵
fdbw 魂不附体
fdby 城防
fehb 赤膊上阵
ferb 㙾
febf 䨗
febg 垺
fffb 土地
ffnb 鄠
ffrb 填报
ffrb 墙报
ffbh 邽
ffbh 邿
ffbi 直截了当
ffbp 寺院
ffbb 坛子
ffbb 进进出出
fgtb 雨季
fgvb 干好
fgbn 坉
fgbw 二阶
fheb 䞯
fhfb 坡地
fhib 盐池
fhtb 䞬
fhub 趣闻
fhvb 真好
fhb 趣
fhbc 趣
fhbh 武陟
fhbm 走出
fhbm 超出
fhbm 赶出
fhbm 趉
fitb 孷
fibn 未了
fjqb 埋怨
fjbc 进取
fjbc 井陉
fjbj 朝阳
fjbm 进出
fjbq 塌陷
fjby 堤防
fjbb 过日子
fkkb 酃
fkqb 喜迎
fkrb 吉凶
fkrb 喜报
fkvb 喜好
fkvb 夫唱妇随
fkwb 吉他
fkbh 郆
fkbm 露出
fkbt 吉隆
fkby 霵
flfb 无边无际
flgb 雷击
fmbj 南阳
fmbm 献出
fnfb 场地
fnwb 聲
fnbk 专职
fnbm 堀
fnbb 声子
fopb 赤字
fob 郝
fobc 赧
fobh 郝
fobr 趋炎附势
fobb 赤子
fpab 过节
fpab 元宵节
fpqb 埦
fpub 过瘾
fpb 勃
fpbc 索取
fpbe 勃
fpbf 孛
fpbg 鹁
fpbn 愂
fpbo 鵓
fpbt 㪍
fpbw 考察队
fpbb 郣
fqdb 垝
fqrb 元凶
fqbe 无阻
fqbg 远隔
fqbh 无耻
fqbh 邧
fqbq 无聊
fqbv 无限
frbt 堫
ftjb 都
ftvb 都好
ftb 教
ftbc 考取
ftbf 孝
ftbt 教
ftbb 老子
ftbb 才子
fudb 埢
fufb 境地
fuvb 幸好
fvvb 老奶奶
fwfb 鄻
fwfb 鄼
fwfb 䣠
fwgb 喜从天降
fwbc 截取
fwbh 邞
fykb 埻
fykb 墎
fykb 霩
fyrb 垴
fb 地
fbaa 教职工
fbad 土耳其
fbad 地基
fbar 地区
fbdf 地压
fbdm 地面
fbdt 无孔不入
fbdu 地磁
fbea 地膜
fben 䨸
fber 地貌
fbfc 地支
fbfc 地动
fbfd 地震
fbfg 地域
fbfg 雷阵雨
fbfh 地址
fbfi 越陷越深
fbfl 地雷
fbfn 地块
fbfp 地壳
fbfs 无职无权
fbfu 进出境
fbga 地形
fbge 地表
fbgg 地球
fbgh 地下
fbgi 䨯
fbgj 地理
fbgk 地带
fbh 邗
fbhc 地皮
fbhg 地上
fbhh 地步
fbhk 地点
fbij 地温
fbip 地学
fbib 䨡
fbj 壭
fbjn 地电
fbjb 孝子贤孙
fbk 凷
fbkk 进出口
fbln 地力
fblt 地图
fblw 地界
fbmh 地幔
fbn 地
fbnf 地层
fbny 进取心
fbny 地心
fbom 夫子庙
fbpc 逇
fbpn 赤子之心
fbqg 地铺
fbqk 地名
fbqr 地铁
fbqt 地狱
fbrc 地摊
fbrc 地瓜
fbrf 地质
fbrm 无限制
fbrv 地热
fbrv 地势
fbsr 地板
fbst 无隙可乘
fbsy 垜
fbte 地盘
fbte 地租
fbtf 地毯
fbtg 霳
fbth 地处
fbtj 地利
fbtq 地物
fbtv 地委
fbud 地头
fbut 地产
fbut 地道
fbuy 朝阳门
fbwd 地段
fbwd 震耳欲聋
fbwu 地位
fbww 地价
fbxf 地线
fbxg 壣
fbyg 地主
fbym 地市
fbyq 喜出望外
fbyy 地方
gahb 琊
gatb 天花乱坠
gatb 璓
gawb 开创
gab 邢
gabh 邢
gabw 开除
gabx 与世隔绝
gcfb 郅
gcfb 臶
gcbi 致函
gcbk 到职
gcbn 到了
